x,y,label
10.851301,6.995547,9
-5.7964015,6.496899,0
-1.1032236,5.972205,0
-2.1745157,5.685674,3
-2.0978315,4.1231976,0
0.2583751,13.972445,2
11.300453,-0.10010122,7
-0.6030969,15.161769,2
8.212541,5.729019,5
8.910279,5.472613,5
-4.4621463,5.878604,0
8.332295,7.6978803,9
10.399591,2.7866755,5
10.0993595,1.3338797,5
10.220277,-0.3715035,7
11.541876,5.6365585,9
1.316589,-1.9306488,1
-4.791966,5.663925,0
0.6089087,13.312935,6
-0.21794432,9.7647505,4
-2.525398,3.6895576,3
0.71495503,-2.0803416,1
-2.2994485,10.988452,4
5.37179,13.275872,8
-2.5270195,12.518623,4
-2.8597836,8.461945,3
-4.4394193,6.9887605,0
0.09276084,14.744471,2
-1.3618461,11.473798,4
-0.82356393,13.459243,4
8.350461,0.48029697,5
-1.0337254,4.8457766,3
-0.964797,12.7081,6
0.1881057,9.315228,6
-1.1598898,6.830842,0
3.8425102,9.4869585,8
3.7062476,9.026993,5
0.716635,11.488997,2
-0.11243641,-4.050942,1
-2.2012043,12.528172,6
-1.1178949,12.927549,6
11.655094,2.4186635,7
11.638728,5.214674,9
10.669302,1.8163276,5
8.97269,7.3920765,9
0.06015903,12.497201,2
11.231972,0.50283736,7
-3.591369,7.895709,3
-4.6727386,6.557649,0
-3.3794715,9.044577,3
-1.5062356,3.3540246,3
-1.6907551,3.429159,3
11.44614,0.7836829,7
-0.8992299,14.1353035,2
-0.86500496,10.031801,2
-5.461717,6.3926997,6
-3.8601763,5.6775694,6
3.5443878,8.629514,8
-1.1153272,3.4514046,3
0.24606803,3.8636441,3
9.514392,5.3171225,5
-3.6380203,6.721261,0
9.396967,1.8938565,5
8.270736,0.49498808,5
-2.7115638,5.027525,0
0.74695045,13.530017,2
-5.37752,6.2870016,0
-2.3865397,5.0938425,0
-0.19696373,13.205985,4
-1.1961449,-2.0960226,1
-4.150888,5.4375463,3
1.455328,-3.4141936,1
-3.272726,6.6323767,6
-1.5358204,3.6776361,3
0.7200424,-3.7454674,1
-3.375962,9.78298,4
-2.2323246,8.787825,4
-4.835311,7.303277,6
-0.53248525,-3.281414,1
9.619102,6.51331,9
0.6587085,-2.5746746,1
-0.6793771,5.3840613,3
8.600838,5.1704693,5
11.863652,0.841667,7
10.074869,8.0559225,9
11.063019,1.8521485,7
1.5354494,-3.0104065,1
11.085907,-0.076798774,7
8.794001,7.8861136,9
11.822183,4.0546503,9
10.997039,5.2999387,9
-0.8073766,4.5250754,3
0.3565139,9.883241,2
11.937423,4.6053066,9
-3.0866442,7.9392614,3
-0.73553747,11.56643,6
-0.83807063,7.0788183,4
-0.78555226,-4.4745326,1
1.0149198,-1.5013958,1
5.4770794,12.080012,8
4.7218757,10.11589,8
-2.847361,5.2378025,0
-1.4306175,-3.8135726,1
-1.1981508,-4.283517,1
-0.7384973,11.1907425,6
6.2768445,13.877729,8
0.5613188,-2.5409114,1
12.272036,4.9899845,9
11.855649,1.1089281,7
5.548452,12.983255,8
6.676619,13.933974,8
11.255622,4.0177374,9
-1.9320346,11.949353,6
-1.5800906,5.321191,6
-1.3236066,4.6164284,3
-0.4129568,-2.8381362,1
8.457485,5.799258,5
0.7170711,12.965389,4
-0.45583656,10.090844,6
11.451912,0.02182176,7
9.117902,1.8688991,5
10.346265,1.7494754,5
10.325166,6.7046204,9
0.18747014,10.974681,2
0.20899767,14.007146,2
-0.058782395,12.15181,2
11.454997,0.2171528,7
-2.512953,6.23616,6
-3.1768186,11.143321,4
-0.052250117,-2.5563931,1
6.318615,13.128032,8
10.170466,-0.6880407,7
11.298039,-0.03823085,7
9.646675,2.224849,5
-0.8929281,10.84676,4
-0.88063717,14.583561,2
8.703912,7.5809793,9
-0.28776762,-3.0587935,1
11.032728,-0.5473383,7
-1.6416415,14.671763,4
-1.455455,11.248763,6
12.193171,3.262581,9
11.647132,4.133931,7
0.26477006,-3.344564,1
5.6746917,13.928487,8
9.846935,0.5996219,7
-0.07610139,-3.4593139,1
-2.0925055,15.254744,2
6.4407935,12.974465,8
-4.797342,6.560746,0
9.67964,8.132163,9
0.74781084,-1.8645031,1
6.4629397,13.271942,8
11.620655,2.8174825,7
-5.5478106,6.536037,0
9.207586,1.5921243,5
4.6406746,11.080052,8
1.8019433,12.619528,6
10.335544,-0.22908616,7
-2.5968456,13.672652,2
-2.262992,4.216121,0
6.2783585,13.475984,8
11.802091,1.0279964,7
0.9730862,-4.0113297,1
-3.2480361,6.6257944,6
0.72895956,10.751057,2
0.6823119,10.682369,1
12.257529,3.3863559,9
-1.769703,13.346175,6
-0.8140294,14.9532,0
0.12623581,-3.9115717,1
-6.008858,6.374006,0
8.700036,5.674954,5
8.360768,5.4361677,5
0.48312545,-2.499565,1
11.833428,1.8748884,7
-5.5208445,6.5626287,0
10.596895,3.9930072,5
6.283911,13.801809,8
-2.8049407,14.428576,4
-3.6056328,6.2589855,0
-3.1392114,11.342447,4
6.893078,12.852503,0
-0.2668189,10.359798,6
-0.43503496,11.902384,6
-0.5268764,12.385613,4
-1.8783408,4.0724196,0
-2.3937056,6.882626,0
-1.2347889,12.975522,4
11.7878065,1.1665931,7
-3.367906,8.273012,3
-5.4851923,5.509378,0
8.926291,4.6011844,5
6.8413353,13.831143,8
-2.5265055,13.557017,4
-0.47018617,-3.2646608,1
-0.70181197,-3.9577334,1
1.4855595,13.892244,2
11.00578,5.419799,9
1.1798044,12.381576,2
3.3203485,8.433388,8
10.761605,0.86181635,5
-1.2095522,7.044034,0
-0.069910534,12.852463,6
-0.6802063,12.315557,3
-0.69536185,14.400605,4
-4.5453696,6.5954823,6
-2.5174494,6.7708044,0
11.0896,6.8149037,9
-1.4693604,-1.99586,1
10.404555,-0.09823232,7
-1.38709,4.312352,3
4.159643,10.025173,8
8.975174,5.7599044,5
4.334383,9.192064,8
-1.7473185,7.991208,3
4.904931,13.706886,8
10.27975,3.0725744,5
1.7354357,13.605186,2
-4.645077,5.7222095,0
4.8282776,11.55621,8
11.802984,3.6564596,7
-2.399571,4.6679373,0
-1.0990067,4.011638,3
10.237019,4.3007154,5
-4.8449626,5.735886,0
5.093732,13.422648,6
10.391496,5.63661,5
-3.4458125,13.594921,2
11.100217,-0.08093728,7
9.686655,2.9626193,5
0.8401779,13.216506,2
-2.6008897,5.192453,6
5.1161385,11.474018,8
1.1712093,13.719116,2
-0.231823,11.327005,6
6.5823455,12.81353,8
-5.615579,6.943059,0
-0.38380474,13.975203,4
-2.698386,11.530398,4
-2.233341,11.9703045,4
-0.48002094,14.542922,4
-1.705453,14.018053,4
-2.771732,4.5429497,1
10.480925,3.8774295,5
-4.1510754,5.0962477,6
9.56751,5.5612845,5
0.20872806,4.4134617,3
-1.8852781,3.5839667,3
11.867872,2.8272786,7
0.22222506,4.4584923,3
-0.93962497,5.2465644,3
1.5023907,11.785722,6
0.465503,13.25297,2
4.62959,9.488342,8
-2.4472811,11.781318,4
-1.6561425,7.252685,6
10.043867,1.7782755,5
11.594711,5.145445,9
0.34483024,4.0023265,3
-1.4000907,11.458039,2
-2.305135,9.657615,3
-0.22622655,11.765743,2
-0.20823552,13.628138,4
-1.4320251,13.8955145,4
5.0248876,13.574054,8
0.6108907,14.24116,2
9.749923,4.7001896,5
-2.8386428,3.8323846,3
1.5270308,12.779748,0
10.490484,0.6934962,7
-3.4226594,12.8499155,2
-5.757937,6.0752263,0
-0.39565054,13.962698,2
8.02778,6.283368,5
12.050564,1.688136,7
-2.4686797,13.852701,2
-1.1554898,5.8657985,3
-1.0698637,-2.2559729,1
10.977306,-0.5258242,7
0.33273825,8.916217,6
-0.6344299,13.646222,2
10.778482,3.401846,9
-0.19492379,-3.8620968,1
11.252858,7.1585073,9
1.386727,-3.9039383,1
0.3209123,-2.1307757,1
-3.3617852,9.424177,8
11.137579,1.6177132,7
2.4699743,13.631026,8
0.85823226,13.570046,4
0.29768917,11.408962,2
-1.8821851,6.5921707,6
0.033113666,10.019549,6
10.28791,1.0778173,7
11.354197,6.0115075,9
0.17023204,9.619811,4
-0.95746756,14.213407,6
-0.3873464,-3.9739816,1
10.6993,7.670546,9
9.91142,2.4320507,5
-0.1932461,14.5638275,6
-3.010365,6.83834,0
8.636248,5.1907125,5
-5.4645348,5.4354963,0
-0.94391996,-3.0007064,1
-0.1553745,13.638518,6
1.1612109,-4.4798245,1
-0.37894505,-3.6908221,1
-0.012547358,12.751371,6
11.012021,-0.18441617,7
1.0955884,14.292414,4
1.0421025,14.22446,4
3.4498682,8.523131,8
-1.0637288,12.928587,6
-2.8614714,9.292771,4
-4.6114726,7.168371,6
12.044037,2.7608495,9
-5.2417307,7.425928,3
11.556145,0.41206577,7
9.06466,1.3688494,5
-4.083453,5.4092546,0
6.2978716,13.427819,8
-2.21872,3.7107236,3
-3.1058729,9.994571,4
-2.2637243,6.43232,0
-0.67222106,4.483408,3
-0.90373564,5.8489285,3
-2.689917,14.228003,2
-5.806558,5.693611,0
-0.9279444,-4.4345164,1
-5.2209096,6.198083,0
-1.5143884,4.1879706,3
4.0461097,9.215878,8
-3.085164,8.065985,3
9.190099,7.801074,9
1.2101257,-1.4604603,1
12.154977,4.733128,9
-4.449399,5.7379637,0
-0.42684528,7.053898,4
11.623048,0.7405104,7
10.265644,0.3521363,7
6.9122276,13.42076,8
9.843319,1.9726869,5
-1.6503776,11.371399,6
8.784379,5.969824,5
-1.9236792,7.2402635,6
-3.0468287,7.981507,8
0.69203854,10.408947,2
8.879846,1.6240721,5
-3.2928367,10.171792,2
-0.9554779,4.0985656,3
-0.856949,-3.4824982,1
-2.1981642,5.6284056,6
-2.5166228,6.781849,0
11.973552,3.3132133,7
3.8834722,9.472629,8
11.55764,0.27587306,7
4.3590436,10.223086,8
1.3655276,-1.4221109,1
12.0053425,3.0689328,9
-0.9961435,12.123881,6
-2.5107424,9.205998,4
10.112923,2.5967953,5
11.350653,1.2393916,7
-1.1508638,-4.035807,1
10.916611,0.7446097,7
-1.6986914,7.2112265,6
-1.2012937,12.530443,6
11.063135,-0.4105286,7
-0.7001046,3.6040063,3
9.979754,5.54093,5
-2.2308779,12.2034855,8
11.142716,1.1903195,7
-1.807245,4.1122093,3
-3.427173,8.720239,3
10.507258,7.7816195,9
-1.7768828,5.4555087,0
-1.7491723,4.0871596,3
-1.6797043,-2.8768644,1
-2.8327363,14.064751,6
-1.4819438,13.314549,4
10.232719,-0.4222224,7
-2.8000314,4.8353834,0
9.605822,2.1093156,5
0.5144397,-3.3844562,1
10.277481,4.020921,5
-3.2449443,9.163696,4
-1.1218634,11.052918,4
9.423249,1.4217623,5
10.817391,6.489065,9
1.9740252,-3.5584207,1
-2.373019,4.49437,0
9.438946,1.8472542,5
4.8167586,11.596449,8
-3.5386443,8.049001,3
-0.24798465,8.981409,4
-1.434092,14.451077,4
0.5491723,10.180669,2
-0.18391256,14.459039,4
0.42560154,10.518754,2
10.236816,3.6860428,5
-1.7172028,6.9515185,6
11.403493,1.0456755,7
0.7409584,10.691679,2
0.0026490537,11.989458,2
10.459487,0.7842343,5
-2.9151647,8.042413,3
0.38359213,11.947689,8
6.0797863,13.1108,8
-5.2709656,6.4769077,6
6.8207183,13.248695,8
-1.0155265,11.280666,4
-3.412617,12.046074,4
-1.2958612,-4.0588136,1
-5.0018325,6.0611005,0
-2.5722322,12.424419,2
10.69282,0.16571862,7
-0.22661047,-3.551579,1
1.7125933,-3.37122,1
6.16987,13.0482,8
6.3116183,12.834512,8
1.8408775,13.125219,2
11.079201,-0.2337794,7
9.407518,7.7520876,9
11.467377,0.08332178,7
-3.122637,11.569831,4
-1.8873295,-2.869157,1
0.14918979,9.208065,2
-1.8057092,6.892155,0
5.1740594,13.509948,8
11.207758,6.3359895,9
-0.6755017,-2.8365993,1
-1.9893001,9.255951,4
11.159953,6.688154,9
10.079645,2.7602842,5
6.14988,12.658815,6
11.448563,0.27511016,7
-1.6407574,6.4964395,0
-0.95013285,3.4968274,3
-1.0511601,11.491727,2
-4.151499,6.2395563,0
-2.6420214,12.022229,4
-1.0268692,-3.748159,1
-3.5448878,5.9784603,0
-1.7197006,5.615487,0
4.7782245,12.999434,8
10.581051,0.21638745,7
-3.899467,6.5154586,0
-0.17294975,10.10744,2
12.1000595,4.967128,9
11.461847,7.0233316,9
